country,city,postalCode,provinceState,streetName
Sao Tome and Principe,New Timothyview,68690,Florida,Garcia Cove
Svalbard & Jan Mayen Islands,East Davidbury,37246,Delaware,Sara Islands
Faroe Islands,West Mathew,95614,Georgia,Louis Forge
Uganda,Austinmouth,65872,West Virginia,David Centers
Maldives,Lake Amanda,15601,Louisiana,Hebert Knoll
Cuba,West Sethchester,33694,Virginia,Nathaniel Track
Saint Martin,South Miguelburgh,63520,New York,Edward Island
Kyrgyz Republic,Jenniferview,89528,Mississippi,Kyle Groves
Niue,South Jasonmouth,25672,Arkansas,Darrell Ways
Holy See (Vatican City State),Port Samanthaton,78623,Arizona,Baldwin Brook
Colombia,Rodriguezside,45116,Arkansas,Anne Meadows
Macao,South Kyleview,69162,Oklahoma,Melinda Islands
Bolivia,Glovermouth,85431,Illinois,Saunders Point
Nauru,New Erika,82988,Louisiana,Lopez Fall
Poland,East Sierra,93767,North Dakota,Miranda Shore
Taiwan,East Alexanderfurt,61070,Arkansas,William Isle
El Salvador,East Jeffreyville,40613,Nebraska,Love Ford
Sweden,South James,80023,New Jersey,Tony Crossroad
Cuba,Campbellchester,05330,New York,Jessica Avenue
Greece,Jenniferview,65173,Massachusetts,Katrina Pass
Netherlands Antilles,North Kristin,32398,Connecticut,Kerry Shore
Finland,Hayesport,17470,Virginia,Claire Parkways
Uganda,New Toni,07061,Mississippi,Brown Islands
Brunei Darussalam,Lewishaven,28783,Massachusetts,Anderson Corner
Cook Islands,West Christopher,35831,North Carolina,Bryan Green
Cameroon,Lake Melissa,61401,Indiana,Sims Place
Canada,West Malik,11020,Alaska,Gay Crossroad
Costa Rica,East Jimmy,80540,Texas,Fisher Shoals
Liechtenstein,Lake Michael,93651,New Jersey,Edwin Road
Dominica,Christopherstad,48997,Missouri,Shannon Flat
Monaco,North Jessica,50514,Mississippi,Lewis Prairie
Myanmar,Timothybury,26629,Montana,Osborne Garden
Saint Kitts and Nevis,Lake Cassandraville,70565,Missouri,Villarreal Fords
Norway,East Richardshire,65623,Missouri,Carter Throughway
Qatar,Dennisfurt,40826,Louisiana,Robles Prairie
Sao Tome and Principe,East Hollyberg,24994,Michigan,Michele Courts
Ireland,North Omarstad,59601,California,Stokes Meadow
Ethiopia,Jasonstad,93003,Wisconsin,Conway Shore
